line,level1,level2
Security and intelligence operations abroad.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Travel and accommodation for diplomatic missions.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Cultural exchange and diplomatic engagement programs.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
International legal services and treaty obligations.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Refugee and asylum seeker support programs.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Consular services for Kenyan citizens abroad.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Emergency assistance for Kenyans overseas.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Funding for international environmental initiatives.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Investments in international scientific and technological cooperation.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Support for international peacekeeping missions.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Promotion of Kenya’s trade and tourism abroad.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Training and development for foreign service personnel.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
International health initiatives and cooperation.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Diplomatic protocol and etiquette training.,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs"
Direct financial assistance to low-income countries.,General public services,Foreign economic aid
Grants for infrastructure development in emerging economies.,General public services,Foreign economic aid
Funding for agricultural development projects in developing countries.,General public services,Foreign economic aid
Investments in renewable energy projects in transitioning nations.,General public services,Foreign economic aid
Educational scholarships for students from developing countries.,General public services,Foreign economic aid
Technical assistance for governance reforms in transitioning countries.,General public services,Foreign economic aid
Emergency humanitarian aid for countries facing natural disasters.,General public services,Foreign economic aid
Funding for clean water and sanitation projects in rural areas.,General public services,Foreign economic aid
Microfinance programs supporting small businesses in emerging economies.,General public services,Foreign economic aid
Capacity building initiatives for public administration in developing countries.,General public services,Foreign economic aid
Support for women’s empowerment projects in transitional societies.,General public services,Foreign economic aid
Conservation and environmental protection grants in biodiversity-rich areas.,General public services,Foreign economic aid
Funding for combating infectious diseases in under-resourced nations.,General public services,Foreign economic aid
Support for peacebuilding and conflict resolution in war-torn regions.,General public services,Foreign economic aid
Assistance for housing and urban development in rapidly growing cities.,General public services,Foreign economic aid
Funding for digital infrastructure development in remote areas.,General public services,Foreign economic aid
Support for food security and nutrition programs in famine-prone regions.,General public services,Foreign economic aid
Grants for cultural preservation in countries undergoing transition.,General public services,Foreign economic aid
Funding for climate change adaptation and resilience building.,General public services,Foreign economic aid
Assistance in developing sustainable transportation networks.,General public services,Foreign economic aid
Support for small-scale fisheries and coastal communities.,General public services,Foreign economic aid
Initiatives for youth skill development and employment.,General public services,Foreign economic aid
Grants for social inclusion and community development projects.,General public services,Foreign economic aid
Assistance in disaster risk reduction and emergency preparedness.,General public services,Foreign economic aid
Contributions to the World Bank’s development programs.,General public services,Foreign economic aid
Funding for United Nations Sustainable Development Goals initiatives.,General public services,Foreign economic aid
Contributions to the International Monetary Fund’s capacity development.,General public services,Foreign economic aid
Support for World Health Organization’s global health initiatives.,General public services,Foreign economic aid
Funding for UNICEF’s child protection and education programs.,General public services,Foreign economic aid
"Contributions to the Global Fund for AIDS, Tuberculosis and Malaria.",General public services,Foreign economic aid
Support for UNESCO’s cultural heritage and educational projects.,General public services,Foreign economic aid
Funding for the UN Refugee Agency’s humanitarian relief efforts.,General public services,Foreign economic aid
Contributions to the International Development Association.,General public services,Foreign economic aid
Support for the World Food Programme’s emergency food assistance.,General public services,Foreign economic aid
Funding for the African Development Bank’s regional projects.,General public services,Foreign economic aid
Contributions to the Asian Infrastructure Investment Bank.,General public services,Foreign economic aid
Support for the International Red Cross and Red Crescent Movement.,General public services,Foreign economic aid
Funding for the Green Climate Fund’s climate action projects.,General public services,Foreign economic aid
Contributions to the International Labour Organization’s employment programs.,General public services,Foreign economic aid
Funding for the Food and Agriculture Organization’s agricultural development.,General public services,Foreign economic aid
Support for the United Nations Environment Programme.,General public services,Foreign economic aid
Contributions to the United Nations Population Fund’s reproductive health initiatives.,General public services,Foreign economic aid
Funding for international research and development collaborations.,General public services,Foreign economic aid
Support for global education initiatives through international partnerships.,General public services,Foreign economic aid
Contributions to international efforts for ocean and marine life conservation.,General public services,Foreign economic aid
Funding for global cybersecurity and digital safety projects.,General public services,Foreign economic aid
Support for international initiatives on human rights and justice.,General public services,Foreign economic aid
Contributions to global efforts for renewable energy transition.,General public services,Foreign economic aid
Funding for international collaborations in science and technology.,General public services,Foreign economic aid
Salaries and wages for government employees.,General public services,General services
Employee health insurance and benefits.,General public services,General services
Training and professional development programs.,General public services,General services
Retirement benefits and pensions for public servants.,General public services,General services
e-Passport System.,General public services,General services
Supplies for Passport Production,General public services,General services
"Maintenance of passport system (both Hardware, software and licenses.",General public services,General services
Purchase of Visa Stickers.,General public services,General services
Purchase of e-Passport books.,General public services,General services
National Integrated Identity Management System.,General public services,General services
Recruitment and hiring costs.,General public services,General services
Performance bonuses and incentives.,General public services,General services
Occupational health and safety programs.,General public services,General services
Employee wellness and support services.,General public services,General services
Payroll management and administration.,General public services,General services
Funding for labor unions and employee associations.,General public services,General services
Disability and workers' compensation.,General public services,General services
Childcare services for government employees.,General public services,General services
Diversity and inclusion initiatives.,General public services,General services
Legal services related to personnel management.,General public services,General services
Temporary staffing and overtime costs.,General public services,General services
Funding for national census and demographic surveys.,General public services,General services
Development and maintenance of national statistical databases.,General public services,General services
Research grants for economic and social policy studies.,General public services,General services
Funding for urban and regional planning initiatives.,General public services,General services
Investments in data analysis and forecasting tools.,General public services,General services
Support for environmental impact assessments and studies.,General public services,General services
Expenditures for public opinion polling and research.,General public services,General services
Funding for strategic planning and policy development.,General public services,General services
Grants for academic and research institutions for collaborative studies.,General public services,General services
Development of national indicators and performance benchmarks.,General public services,General services
Maintenance and operation of government buildings and facilities.,General public services,General services
Expenditures for public communication and media services.,General public services,General services
Legal services and litigation costs.,General public services,General services
Funding for public records and archives management.,General public services,General services
Expenditures for government vehicle fleet maintenance and fuel.,General public services,General services
"Costs for utilities and services in public buildings (electricity, water, etc.).",General public services,General services
Investment in information technology infrastructure and services.,General public services,General services
Funding for public safety and emergency preparedness programs.,General public services,General services
Support for community engagement and outreach activities.,General public services,General services
Grants to non-profit organizations for public service projects.,General public services,General services
"Funding for public ceremonies, celebrations, and national events.",General public services,General services
Expenditures for office supplies and equipment.,General public services,General services
Investment in renewable energy installations for public facilities.,General public services,General services
Costs for waste management and recycling in government buildings.,General public services,General services
Funding for accessibility and disability services in public spaces.,General public services,General services
Expenditures for landscaping and upkeep of public grounds.,General public services,General services
Investments in security systems and surveillance for public buildings.,General public services,General services
Funding for cultural and historical preservation projects.,General public services,General services
Expenditures for pest control and building maintenance.,General public services,General services
Insurance premiums for government properties and assets.,General public services,General services
Support for intergovernmental cooperation and initiatives.,General public services,General services
Funding for public-private partnership projects.,General public services,General services
Grants for local government capacity building.,General public services,General services
Funding for innovation and improvement in public services.,General public services,General services
Investment in smart city technologies for public administration.,General public services,General services
Funding for theoretical physics research.,General public services,Basic research
Grants for biological diversity studies.,General public services,Basic research
Investment in astrophysical and space exploration research.,General public services,Basic research
Support for basic chemical research.,General public services,Basic research
Funding for geological and earth sciences studies.,General public services,Basic research
Grants for mathematical theory development.,General public services,Basic research
Investment in climate change and atmospheric research.,General public services,Basic research
Funding for oceanographic exploration.,General public services,Basic research
Support for research in quantum computing.,General public services,Basic research
Grants for fundamental neuroscience research.,General public services,Basic research
Funding for research in particle physics.,General public services,Basic research
Investment in evolutionary biology studies.,General public services,Basic research
Support for research in pure psychology.,General public services,Basic research
Grants for foundational research in economics.,General public services,Basic research
Funding for linguistics and language studies.,General public services,Basic research
"Investment in basic medical research (e.g., cell biology).",General public services,Basic research
Support for paleontological research.,General public services,Basic research
Grants for studies in non-renewable energy sources.,General public services,Basic research
Funding for research in renewable energy sources.,General public services,Basic research
Investment in nanotechnology research.,General public services,Basic research
Support for basic engineering research.,General public services,Basic research
Grants for environmental science studies.,General public services,Basic research
Funding for agricultural science and soil research.,General public services,Basic research
Investment in social sciences and anthropology.,General public services,Basic research
Support for research in materials science.,General public services,Basic research
Grants for theoretical computer science studies.,General public services,Basic research
Funding for studies in human genetics.,General public services,Basic research
Investment in basic pharmacological research.,General public services,Basic research
Support for research in robotics and automation.,General public services,Basic research
Grants for foundational research in artificial intelligence.,General public services,Basic research
Funding for studies in plasma physics.,General public services,Basic research
Investment in research on fundamental biological processes.,General public services,Basic research
Support for cosmological research.,General public services,Basic research
Grants for studies in pure sociology.,General public services,Basic research
Funding for research in fundamental statistical methods.,General public services,Basic research
Investment in archaeological research.,General public services,Basic research
Support for research in cognitive science.,General public services,Basic research
Grants for studies in the philosophy of science.,General public services,Basic research
Funding for basic research in acoustics.,General public services,Basic research
Investment in meteorological research.,General public services,Basic research
Support for studies in geospatial sciences.,General public services,Basic research
Grants for research in molecular biology.,General public services,Basic research
Funding for research in optics and photonics.,General public services,Basic research
Investment in foundational environmental health studies.,General public services,Basic research
Support for research in theoretical ecology.,General public services,Basic research
Grants for studies in bioinformatics.,General public services,Basic research
Funding for research in organic chemistry.,General public services,Basic research
Investment in basic research in fluid dynamics.,General public services,Basic research
Support for research in electromagnetism.,General public services,Basic research
Grants for foundational research in cybernetics.,General public services,Basic research
Development of advanced public administration systems.,General public services,R&D General public services
Research in e-governance and digital services for citizens.,General public services,R&D General public services
Innovation in public financial management and accounting.,General public services,R&D General public services
Studies on effective tax collection and revenue management.,General public services,R&D General public services
Development of cybersecurity measures for government data.,General public services,R&D General public services
Research on sustainable urban planning and smart city technologies.,General public services,R&D General public services
Pilot projects for public service automation.,General public services,R&D General public services
Research on educational methodologies and policy effectiveness.,General public services,R&D General public services
Development of eco-friendly public transportation systems.,General public services,R&D General public services
Innovation in renewable energy sources for public buildings.,General public services,R&D General public services
Research on waste management and recycling in urban areas.,General public services,R&D General public services
Studies on water conservation and management in public utilities.,General public services,R&D General public services
Development of public safety and emergency response technologies.,General public services,R&D General public services
Research on social welfare policies and their impact.,General public services,R&D General public services
Studies in public law and administration.,General public services,R&D General public services
Development of AI applications for public service delivery.,General public services,R&D General public services
Research on improving public sector labor productivity.,General public services,R&D General public services
Development of infrastructure resilience to climate change.,General public services,R&D General public services
Research in public sector ethics and corruption prevention.,General public services,R&D General public services
Studies on public procurement and supply chain efficiency.,General public services,R&D General public services
Development of community engagement and feedback systems.,General public services,R&D General public services
Research on public policy formulation and analysis techniques.,General public services,R&D General public services
Studies on demographic changes and public service needs.,General public services,R&D General public services
Development of assistive technologies for disabled citizens in public spaces.,General public services,R&D General public services
Studies on cultural heritage preservation and public museums.,General public services,R&D General public services
Development of public library systems and digital archives.,General public services,R&D General public services
Research on housing policies and public housing design.,General public services,R&D General public services
Studies on urban agriculture and food security.,General public services,R&D General public services
Development of public parks and recreational facilities.,General public services,R&D General public services
Research on disaster risk reduction and management.,General public services,R&D General public services
Studies on traffic management and road safety.,General public services,R&D General public services
Development of pollution control measures in cities.,General public services,R&D General public services
Research on public sector workforce development.,General public services,R&D General public services
Studies on pension systems and aging populations.,General public services,R&D General public services
Development of technologies for public sector transparency.,General public services,R&D General public services
Research on innovative public financing mechanisms.,General public services,R&D General public services
Studies on public sector efficiency and service quality.,General public services,R&D General public services
Development of legal tech for public law services.,General public services,R&D General public services
Research on integration of refugees and migrants in public services.,General public services,R&D General public services
Studies on child and family services in the public sector.,General public services,R&D General public services
Development of public art and cultural initiatives.,General public services,R&D General public services
Studies on public sector leadership and management training.,General public services,R&D General public services
Development of anti-discrimination policies in public services.,General public services,R&D General public services
Research on energy efficiency in public buildings.,General public services,R&D General public services
Studies on public sector collaboration and partnerships.,General public services,R&D General public services
Development of monitoring and evaluation systems for public projects.,General public services,R&D General public services
Interest Payments on Domestic Bonds: Costs associated with interest on government-issued domestic bonds.,General public services,Public debt transactions
Foreign Debt Interest Payments: Payments for interest on external or foreign-held debt.,General public services,Public debt transactions
Redemption of Treasury Bills: The repaying or maturing of short-term government securities.,General public services,Public debt transactions
Issuance Costs for New Bonds: Expenses related to the issuance of new government bonds.,General public services,Public debt transactions
Debt Refinancing Operations: Costs associated with refinancing existing debt to achieve more favorable terms.,General public services,Public debt transactions
Repayment of Principal on International Loans: Payment towards the principal amount of loans from international lenders.,General public services,Public debt transactions
Debt Conversion Programs: Costs related to converting debt into different forms or terms.,General public services,Public debt transactions
Credit Rating Agency Fees: Fees paid for credit rating services for government debt.,General public services,Public debt transactions
Debt Management Advisory Services: Expenditures for consulting services on debt management.,General public services,Public debt transactions
Interest Payments on Municipal Bonds: Payments made for interest on bonds issued by local governments.,General public services,Public debt transactions
Sinking Fund Contributions: Regular savings set aside for the repayment of long-term debt.,General public services,Public debt transactions
Currency Exchange Costs for Foreign Debt: Costs incurred due to currency exchange in servicing foreign debt.,General public services,Public debt transactions
Contingent Liability Funding: Reserves for potential future liabilities related to debt guarantees.,General public services,Public debt transactions
Subsidies for Debt Relief Programs: Funds allocated for programs aimed at providing debt relief.,General public services,Public debt transactions
Interest Subsidies on Government Loans: Subsidies to reduce the interest rate burden on certain government loans.,General public services,Public debt transactions
Repayment of War Bonds: Specific costs associated with repaying bonds issued to finance wartime expenses.,General public services,Public debt transactions
Debt Issuance for Infrastructure Projects: Funds raised through debt specifically for large-scale infrastructure projects.,General public services,Public debt transactions
Transaction Costs for Debt Swaps: Costs incurred in conducting debt swap agreements.,General public services,Public debt transactions
Principal Payments on Sovereign Bonds: Payments towards the principal amount of sovereign bonds.,General public services,Public debt transactions
Costs of Legal Services for Debt Transactions: Legal fees related to structuring and managing debt transactions.,General public services,Public debt transactions
Interest Payments on Inflation-Indexed Bonds: Payments for bonds where interest rates are tied to inflation metrics.,General public services,Public debt transactions
Early Redemption Fees: Costs associated with the early repayment of debt before its maturity.,General public services,Public debt transactions
Debt Repayment to Multilateral Institutions: Payments made towards debts owed to international financial institutions.,General public services,Public debt transactions
Budget Allocation for Debt Ceiling Increases: Funds set aside in anticipation of raising the government's debt limit.,General public services,Public debt transactions
Government Savings Bonds Interest Payments: Payments for interest on bonds sold directly to the public.,General public services,Public debt transactions
Block Grants to State Governments: Unrestricted funds transferred to states for general use.,General public services,Transfers of a general character between different levels of government
Revenue Sharing with Local Municipalities: Distributing a portion of federal or state revenue to local governments.,General public services,Transfers of a general character between different levels of government
Equalization Payments to Underfunded Regions: Transfers aimed at reducing fiscal disparities among regions.,General public services,Transfers of a general character between different levels of government
Funding for Local Education Authorities: Direct transfers to support local schools and educational initiatives.,General public services,Transfers of a general character between different levels of government
"Infrastructure Development Grants: Funds for local infrastructure projects like roads, bridges, and public transit.",General public services,Transfers of a general character between different levels of government
Emergency Fiscal Assistance to Municipalities: Financial support for local governments facing fiscal crises.,General public services,Transfers of a general character between different levels of government
Transfers for Social Welfare Programs: Funds for local administration of social services and welfare programs.,General public services,Transfers of a general character between different levels of government
Local Environmental Protection Funding: Grants for regional environmental initiatives and sustainability projects.,General public services,Transfers of a general character between different levels of government
Rural Development Funds: Specific transfers aimed at economic development in rural areas.,General public services,Transfers of a general character between different levels of government
Municipal Public Safety Grants: Funding for local law enforcement and fire protection services.,General public services,Transfers of a general character between different levels of government
Urban Renewal and Development Grants: Allocations to support redevelopment projects in urban areas.,General public services,Transfers of a general character between different levels of government
Community Development Block Grants: Flexible funding for local community development needs.,General public services,Transfers of a general character between different levels of government
Local Public Transportation Subsidies: Transfers to support and maintain public transport systems.,General public services,Transfers of a general character between different levels of government
State Pension Fund Contributions: Financial contributions to state-administered pension plans.,General public services,Transfers of a general character between different levels of government
"Cultural and Recreational Funding for Cities: Grants for local cultural, artistic, and recreational activities.",General public services,Transfers of a general character between different levels of government
Disaster Recovery Funds to Affected Regions: Allocations for rebuilding and recovery following natural disasters.,General public services,Transfers of a general character between different levels of government
Transfers for Housing and Urban Development: Funds for local housing initiatives and urban planning.,General public services,Transfers of a general character between different levels of government
Education Equalization Grants: Funds to ensure equitable education funding across all regions.,General public services,Transfers of a general character between different levels of government
Grants for Local Agricultural Development: Support for agricultural initiatives at the local level.,General public services,Transfers of a general character between different levels of government
State Water and Sewer System Funding: Allocations for the maintenance and expansion of water and sewer infrastructure.,General public services,Transfers of a general character between different levels of government
Local Government IT Development Grants: Funding for upgrading local government technology and digital services.,General public services,Transfers of a general character between different levels of government
Regional Transportation Planning Grants: Support for the development of regional transportation plans.,General public services,Transfers of a general character between different levels of government
Funding for Local Energy Efficiency Projects: Grants to promote energy efficiency and renewable energy at the local level.,General public services,Transfers of a general character between different levels of government
Regular salaries for active military personnel across all branches.,Defence,Military defence
Military Training Programs: Costs for training exercises and educational programs for service members.,Defence,Military defence
Weapon Systems Procurement: Expenditures for purchasing new weapons and maintaining existing arsenals.,Defence,Military defence
Military Base Maintenance: Ongoing costs for upkeep and operation of military bases and facilities.,Defence,Military defence
Defence Research and Development: Investment in the research and development of new defence technologies.,Defence,Military defence
Aircraft Purchase and Maintenance: Costs associated with buying and maintaining military aircraft.,Defence,Military defence
Naval Fleet Expansion: Expenditures for constructing and acquiring new naval ships and submarines.,Defence,Military defence
Military Healthcare Services: Funding for healthcare services specific to military personnel and their families.,Defence,Military defence
Veteran Benefits and Pensions: Allocations for pensions and other benefits for retired military personnel.,Defence,Military defence
Cybersecurity Defence Initiatives: Investment in technologies and strategies to protect against cyber threats.,Defence,Military defence
Missile Defense Systems: Funding for the development and deployment of missile defense capabilities.,Defence,Military defence
International Peacekeeping Contributions: Contributions to international peacekeeping operations and missions.,Defence,Military defence
Military Housing: Costs for constructing and maintaining housing facilities for service members.,Defence,Military defence
Special Operations Funding: Allocations for special forces and covert military operations.,Defence,Military defence
Ammunition and Equipment Supply: Regular procurement of ammunition and military equipment.,Defence,Military defence
Defence Satellite Programs: Investment in satellite technologies for communication and reconnaissance.,Defence,Military defence
Military Vehicle Fleet Upgrades: Costs for purchasing and updating military ground vehicles.,Defence,Military defence
Joint Military Exercises: Expenditures for participating in joint training exercises with allied nations.,Defence,Military defence
Nuclear Arsenal Maintenance: Funding for the upkeep and modernization of nuclear weapons.,Defence,Military defence
"Soldier Uniforms and Gear: Costs for uniforms, protective gear, and personal equipment for soldiers.",Defence,Military defence
Military Intelligence Operations: Funding for intelligence gathering and analysis activities.,Defence,Military defence
Combat Readiness Initiatives: Programs aimed at ensuring forces are prepared for deployment and combat.,Defence,Military defence
Military Environmental Initiatives: Investments in reducing the environmental impact of military activities.,Defence,Military defence
Defence Logistics and Supply Chain Management: Costs for managing and optimizing the military's supply chain.,Defence,Military defence
Military Space Exploration Programs: Funding for military involvement in space exploration and related technologies.,Defence,Military defence
Emergency Response Training Programs: Funding for training civilian emergency response teams and volunteers.,Defence,Civil defence
"Disaster Relief Supplies and Equipment: Expenditures for stockpiling necessary supplies like food, water, and medical kits.",Defence,Civil defence
"Public Warning Systems: Investment in systems for alerting the public about emergencies, like sirens or emergency broadcasting.",Defence,Civil defence
Community Evacuation Plans: Development and maintenance of evacuation procedures and routes for communities at risk.,Defence,Civil defence
"Flood Defense Systems: Funding for infrastructure to protect against flooding, such as levees and flood walls.",Defence,Civil defence
Earthquake Preparedness Initiatives: Investments in seismic retrofitting and earthquake readiness programs.,Defence,Civil defence
Civil Defence Training for Citizens: Programs to educate the public on emergency preparedness and survival skills.,Defence,Civil defence
Emergency Communication Networks: Development and maintenance of secure and reliable communication systems for emergencies.,Defence,Civil defence
"Hazardous Material Response Units: Funding for specialized teams equipped to handle chemical, biological, or radiological threats.",Defence,Civil defence
Firefighting Equipment and Resources: Investments in modern firefighting equipment and technology.,Defence,Civil defence
Emergency Medical Services: Funding for ambulance services and emergency medical response teams.,Defence,Civil defence
Shelter Management Programs: Expenditures for the operation and maintenance of emergency shelters.,Defence,Civil defence
"Volunteer Coordination and Support: Resources for recruiting, training, and supporting civil defence volunteers.",Defence,Civil defence
Rescue Operation Equipment: Funding for specialized equipment for search and rescue operations.,Defence,Civil defence
Public Safety Awareness Campaigns: Programs to raise public awareness about safety practices and emergency procedures.,Defence,Civil defence
Cybersecurity for Critical Infrastructure: Investment in protecting critical infrastructure from cyber threats.,Defence,Civil defence
Pandemic Preparedness and Response: Funding for preparations and responses to potential disease outbreaks.,Defence,Civil defence
Nuclear Incident Preparedness: Resources for preparing and responding to nuclear incidents or accidents.,Defence,Civil defence
Climate Change Adaptation Initiatives: Projects aimed at preparing communities for the impacts of climate change.,Defence,Civil defence
Urban Search and Rescue Teams: Funding for teams specialized in rescuing people from collapsed buildings or confined spaces.,Defence,Civil defence
Emergency Management Training Centers: Investment in facilities for comprehensive emergency management training.,Defence,Civil defence
Disaster Recovery and Reconstruction Funds: Resources for rebuilding and recovery efforts after disasters.,Defence,Civil defence
Critical Infrastructure Protection: Investments in securing and maintaining essential public infrastructure during crises.,Defence,Civil defence
"Military Training Programs: Funding for training foreign military personnel in tactics, operations, and strategy.",Defence,Foreign military aid
Provision of Defence Equipment: Expenditures for supplying military hardware to allied nations.,Defence,Foreign military aid
Military Advisory Services: Costs for sending military advisors to assist foreign armed forces.,Defence,Foreign military aid
Peacekeeping Operation Contributions: Financial support for international peacekeeping missions.,Defence,Foreign military aid
Counter-Terrorism Training: Programs focused on training foreign militaries in counter-terrorism operations.,Defence,Foreign military aid
